	Depth（nm）	Load（mN）			Depth（nm）	Load（mN）			Depth（nm）	Load（mN）				点位	时间	Depth（nm）	Load（mN）			Depth（nm）	Load1（mN）	Load2（mN）	Load3（mN）
0	-535.02505	-0.017714		0	-3.238461	-0.010978		0	-495.915567	-0.01538				1#	0.122227	160.47243	0.10001		0.122227	160.47243	0.10001	0.63284	0.63284
0	-483.120304	-0.016611		0	-2.811117	-0.009889		0	-448.726885	-0.014311				1#	0.179145	281.099788	0.66395		0.179145	281.099788	0.66395	1.15817	1.15817
0	-440.790233	-0.015508		0	-2.359463	-0.008833		0	-402.136984	-0.013204				1#	0.234628	484.57835	1.19576		0.234628	484.57835	1.19576	1.8033	1.8033
0	-385.679075	-0.0144		0	-2.878904	-0.007736		0	-348.753739	-0.012071				1#	0.303383	573.103879	1.84551		0.303383	573.103879	1.84551	2.3668	2.3668
0	-335.715837	-0.013304		0	-2.811937	-0.006613		0	-286.647314	-0.011009				1#	0.358227	649.693879	2.4569		0.358227	649.693879	2.4569	2.95325	2.95325
0	-278.011519	-0.012194		0	-2.417319	-0.005512		0	-226.291394	-0.009903				1#	0.411457	705.098779	2.97305		0.411457	705.098779	2.97305	3.55638	3.55638
0	-224.526402	-0.011088		0	-1.697834	-0.004416		0	-162.070019	-0.008793				1#	0.47337	758.702807	3.5467		0.47337	758.702807	3.5467	4.16966	4.16966
0	-165.133562	-0.009989		0	-1.517508	-0.003318		0	-111.309904	-0.007684				1#	0.525076	799.321882	4.11793		0.525076	799.321882	4.11793	4.8361	4.8361
0	-93.33795	-0.008875		0	-0.560508	-0.002211		0	-47.891495	-0.00656				1#	0.589288	845.515755	4.7449		0.589288	845.515755	4.7449	5.40059	5.40059
0	-10.329295	-0.007754		0	-0.624248	-0.001082		0	-28.435647	-0.005474				1#	0.644751	886.982501	5.29564		0.644751	886.982501	5.29564	5.98697	5.98697
0	-20.398804	-0.006631		0	0	0		0	-26.987599	-0.004352				1#	0.71016	935.442787	5.93943		0.71016	935.442787	5.93943	6.56059	6.56059
0	-11.477973	-0.005505		0	21.682173	0.1		0	-20.792898	-0.003255				1#	0.766712	981.654544	6.51114		0.766712	981.654544	6.51114	7.16582	7.16582
0	-6.018776	-0.004398		0.08024	21.991839	0.10001		0	-13.106738	-0.002155				1#	0.827667	1033.155273	7.09224		0.827667	1033.155273	7.09224	7.75166	7.75166
0	-3.655319	-0.003301		0.134113	59.177843	0.63284		0	-6.985509	-0.001054				1#	0.889332	1087.488674	7.70515		0.889332	1087.488674	7.70515	8.32388	8.32388
